region;comuna;estado_principal_label;apto_para_visor;archivo_recomendado;capa_recomendada;motivo;prc_fecha;prc_nombre;actos_posteriores;ultimo_acto_posterior
Coquimbo;La Serena;Requiere revisar cambios posteriores;REVISAR;IPT_Coquimbo/PRC/La Serena/IPT_04_PRC_LaSerena.shp;IPT_04_PRC_LaSerena;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;2020-12-19;Plan Regulador Comunal de La Serena;1;2023-05-30
Coquimbo;Los Vilos;Requiere revisar cambios posteriores;REVISAR;IPT_Coquimbo/PRC/Los Vilos/IPT_04_PRC_Los_Vilos.shp;IPT_04_PRC_Los_Vilos;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;1986-01-11;Plan Regulador Comunal Los Vilos;3;2011-04-09
Coquimbo;Monte Patria;Vigente · sin cambios posteriores detectados;SI;IPT_Coquimbo/PRC/Monte Patria/IPT_04_PRC_Monte_Patria.shp;IPT_04_PRC_Monte_Patria;La cartografía está vinculada al instrumento vigente y no se detectaron actos posteriores vigentes que requieran incorporación.;2025-05-05;Actualización PRC Monte Patria.;0;
Coquimbo;Ovalle;Requiere revisar cambios posteriores;REVISAR;IPT_Coquimbo/PRC/Ovalle/IPT_04_PRC_Ovalle.shp;IPT_04_PRC_Ovalle;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;2016-12-23;Plan Regulador Comunal de Ovalle;1;
Coquimbo;Paihuano;Vigente · sin cambios posteriores detectados;SI;IPT_Coquimbo/PRC/Paiguano/IPT_04_PRC_Paiguano.shp;IPT_04_PRC_Paiguano;La cartografía está vinculada al instrumento vigente y no se detectaron actos posteriores vigentes que requieran incorporación.;2019-07-10;Plan Regulador Comunal de Paihuano;0;
Coquimbo;Punitaqui;Vigente · sin cambios posteriores detectados;SI;IPT_Coquimbo/PRC/Punitaqui/IPT_04_PRC_Punitaqui.shp;IPT_04_PRC_Punitaqui;La cartografía está vinculada al instrumento vigente y no se detectaron actos posteriores vigentes que requieran incorporación.;2023-05-23;Plan Regulador Comunal de Punitaqui;0;
Coquimbo;Rio Hurtado;Vigente · sin cambios posteriores detectados;SI;IPT_Coquimbo/PRC/Rio Hurtado/IPT_04_PRC_Rio_Hurtado.shp;IPT_04_PRC_Rio_Hurtado;La cartografía está vinculada al instrumento vigente y no se detectaron actos posteriores vigentes que requieran incorporación.;2022-09-26;Plan Regulador Comunal de Río Hurtado;0;
Coquimbo;Salamanca;Requiere revisar cambios posteriores;REVISAR;IPT_Coquimbo/PRC/Salamanca/IPT_04_PRC_Salamanca.shp;IPT_04_PRC_Salamanca;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;1988-10-08;Plan Regulador Comunal de Salamanca;3;2010-08-21
Coquimbo;Vicuña;Vigente · sin cambios posteriores detectados;SI;IPT_Coquimbo/PRC/Vicuna/IPT_04_PRC_Vicuna.shp;IPT_04_PRC_Vicuna;La cartografía está vinculada al instrumento vigente y no se detectaron actos posteriores vigentes que requieran incorporación.;2021-02-19;Plan Regulador Comunal de Vicuña;0;
La Araucanía;Angol;Vigente · sin cambios posteriores detectados;SI;IPT_Araucania/PRC/Angol/IPT_09_PRC_Angol.shp;IPT_09_PRC_Angol;La cartografía está vinculada al instrumento vigente y no se detectaron actos posteriores vigentes que requieran incorporación.;2022-10-14;Plan Regulador Comunal de Angol;0;
